id,age,gender,location
233911,1980-1989,,
265355,1980-1989,,
253993,1980-1989,,
230079,1980-1989,,
262517,1980-1989,,
265356,1980-1989,,
262064,1980-1989,,
259173,1990+,,
245732,1990+,,
265357,1980-1989,,
265358,1980-1989,,
233529,1980-1989,,
265359,1980-1989,,
249998,1980-1989,,
265360,1980-1989,,
247467,1980-1989,,
235962,1980-1989,,
265361,1980-1989,,
265362,1980-1989,,
256321,1980-1989,,
265363,1980-1989,,
226369,1980-1989,,
265364,1979-,,
265365,1990+,,
259891,1980-1989,,
210902,1980-1989,,
265366,1980-1989,,
261858,1980-1989,,
254061,1980-1989,,
265367,1980-1989,,
265368,1980-1989,,
265369,1980-1989,,
265370,1980-1989,,
260061,1990+,,
265371,1980-1989,,
227325,1980-1989,,
265372,1980-1989,,
265373,1980-1989,,
252191,1980-1989,,
240086,1990+,,
240859,1980-1989,,
242864,1980-1989,,
234063,1980-1989,,
265374,1980-1989,,
265375,1990+,,
265376,1990+,,
265377,1980-1989,,
238687,1980-1989,,
220628,1980-1989,,
265379,1980-1989,,
247894,1980-1989,,
248803,1980-1989,,
261859,1980-1989,,
257848,1980-1989,,
265380,1980-1989,,
265381,1980-1989,,
265382,1980-1989,,
222462,1980-1989,,
265383,1980-1989,,
265384,1990+,,
265386,1980-1989,,
222344,1980-1989,,
265387,1990+,,
244334,1980-1989,,
233741,1980-1989,,
262060,1980-1989,,
204952,1990+,,
265388,1980-1989,,
248675,1980-1989,,
265389,1980-1989,,
246034,1980-1989,,
262756,1980-1989,,
232449,1980-1989,,
265390,1979-,,
240157,1980-1989,,
208098,1990+,,
265391,1980-1989,,
265392,1980-1989,,
265393,1980-1989,,
265394,1980-1989,,
247947,1980-1989,,
221373,1980-1989,,
248765,1980-1989,,
244803,1980-1989,,
265395,1980-1989,,
265396,1980-1989,,
265397,1980-1989,,
265398,1980-1989,,
265399,1980-1989,,
224826,1980-1989,,
257780,1980-1989,,
265400,1980-1989,,
265401,1980-1989,,
258710,1980-1989,,
223332,1980-1989,,
265402,1980-1989,,
248880,1980-1989,,
228294,1990+,,
263463,1980-1989,,
265403,1980-1989,,
265253,1980-1989,,
265244,1980-1989,,
235163,1990+,,
265404,1980-1989,,
265405,1980-1989,,
265406,1980-1989,,
208222,1980-1989,,
265407,1990+,,
265408,1980-1989,,
205909,1980-1989,,
228029,1990+,,
265409,1980-1989,,
265410,1980-1989,,
224505,1980-1989,,
211129,1980-1989,,
265411,1980-1989,,
265412,1980-1989,,
265413,1980-1989,,
246961,1980-1989,,
264356,1980-1989,,
260641,1980-1989,,
254952,1990+,,
234139,1980-1989,,
265414,1980-1989,,
234965,1990+,,
265415,1990+,,
254039,1990+,,
265416,1980-1989,,
265417,1980-1989,,
265418,1980-1989,,
239189,1980-1989,,
237799,1980-1989,,
233158,1980-1989,,
265419,1980-1989,,
231009,1980-1989,,
254965,1980-1989,,
263238,1980-1989,,
233524,1979-,,
238239,1980-1989,,
