id,age,gender,location
233911,1980-1989,m,华北
265355,1980-1989,m,华北
253993,1980-1989,m,华北
230079,1980-1989,m,华北
262517,1980-1989,m,华北
265356,1980-1989,m,华北
262064,1980-1989,m,华北
259173,1980-1989,m,华北
245732,1980-1989,m,华北
265357,1980-1989,m,华北
265358,1980-1989,m,华北
233529,1980-1989,m,华北
265359,1980-1989,m,华北
249998,1980-1989,m,华北
265360,1980-1989,m,华北
247467,1980-1989,m,华北
235962,1980-1989,m,华北
265361,1980-1989,m,华北
265362,1980-1989,m,华北
256321,1980-1989,m,华北
265363,1980-1989,m,华北
226369,1980-1989,m,华北
265364,1980-1989,m,华北
265365,1980-1989,m,华北
259891,1980-1989,m,华北
210902,1980-1989,m,华北
265366,1980-1989,m,华北
261858,1980-1989,m,华北
254061,1980-1989,m,华北
265367,1980-1989,m,华北
265368,1980-1989,m,华北
265369,1980-1989,m,华北
265370,1980-1989,m,华北
260061,1980-1989,m,华北
265371,1980-1989,m,华北
227325,1980-1989,m,华北
265372,1980-1989,m,华北
265373,1980-1989,m,华北
252191,1980-1989,m,华北
240086,1980-1989,m,华北
240859,1980-1989,m,华北
242864,1980-1989,m,华北
234063,1980-1989,m,华北
265374,1980-1989,m,华北
265375,1980-1989,m,华北
265376,1980-1989,m,华北
265377,1980-1989,m,华北
238687,1980-1989,m,华北
220628,1980-1989,m,华北
265379,1980-1989,m,华北
247894,1980-1989,m,华北
248803,1980-1989,m,华北
261859,1980-1989,m,华北
257848,1980-1989,m,华北
265380,1980-1989,m,华北
265381,1980-1989,m,华北
265382,1980-1989,m,华北
222462,1980-1989,m,华北
265383,1980-1989,m,华北
265384,1980-1989,m,华北
265386,1980-1989,m,华北
222344,1980-1989,m,华北
265387,1980-1989,m,华北
244334,1980-1989,m,华北
233741,1980-1989,m,华北
262060,1980-1989,m,华北
204952,1980-1989,m,华北
265388,1980-1989,m,华北
248675,1980-1989,m,华北
265389,1980-1989,m,华北
246034,1980-1989,m,华北
262756,1980-1989,m,华北
232449,1980-1989,m,华北
265390,1980-1989,m,华北
240157,1980-1989,m,华北
208098,1980-1989,m,华北
265391,1980-1989,m,华北
265392,1980-1989,m,华北
265393,1980-1989,m,华北
265394,1980-1989,m,华北
247947,1980-1989,m,华北
221373,1980-1989,m,华北
248765,1980-1989,m,华北
244803,1980-1989,m,华北
265395,1980-1989,m,华北
265396,1980-1989,m,华北
265397,1980-1989,m,华北
265398,1980-1989,m,华北
265399,1980-1989,m,华北
224826,1980-1989,m,华北
257780,1980-1989,m,华北
265400,1980-1989,m,华北
265401,1980-1989,m,华北
258710,1980-1989,m,华北
223332,1980-1989,m,华北
265402,1980-1989,m,华北
248880,1980-1989,m,华北
228294,1980-1989,m,华北
263463,1980-1989,m,华北
265403,1980-1989,m,华北
265253,1980-1989,m,华北
265244,1980-1989,m,华北
235163,1980-1989,m,华北
265404,1980-1989,m,华北
265405,1980-1989,m,华北
265406,1980-1989,m,华北
